t,mode,armed,roll,pitch,yaw,thrust_pct,z,tilt,policy_thrust_pct,vbat
5.610,STOCK (your sticks),0,0.0,0.0,-0.0,63.6,51.136,0.0,0.0,3.70
5.635,STOCK (your sticks),0,0.0,0.0,-0.0,64.8,51.311,0.0,0.0,3.70
5.657,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.286,0.0,0.0,3.70
5.682,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.286,0.0,0.0,3.70
5.703,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.286,0.0,0.0,3.70
5.726,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.286,0.0,0.0,3.70
5.750,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.185,0.0,0.0,3.70
5.772,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.185,0.0,0.0,3.70
5.793,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.185,0.0,0.0,3.70
5.816,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.185,0.0,0.0,3.70
5.842,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.185,0.0,0.0,3.70
5.864,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.185,0.0,0.0,3.70
5.889,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.185,0.0,0.0,3.70
5.913,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.185,0.0,0.0,3.70
5.939,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.185,0.0,0.0,3.70
5.960,STOCK (your sticks),0,0.0,0.0,-0.0,65.0,51.197,0.0,0.0,3.70
5.982,STOCK (your sticks),0,0.0,0.0,-0.0,66.2,51.197,0.0,0.0,3.70
6.008,STOCK (your sticks),0,0.0,0.0,-0.0,67.4,51.197,0.0,0.0,3.70
6.028,STOCK (your sticks),0,0.0,0.0,-0.0,68.6,51.197,0.0,0.0,3.70
6.049,STOCK (your sticks),0,0.0,0.0,-0.0,69.8,51.197,0.0,0.0,3.70
6.073,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.197,0.0,0.0,3.70
6.097,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.197,0.0,0.0,3.70
6.118,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.197,0.0,0.0,3.70
6.142,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.115,0.0,0.0,3.70
6.166,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.119,0.0,0.0,3.70
6.190,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.119,0.0,0.0,3.70
6.212,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.119,0.0,0.0,3.70
6.237,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.119,0.0,0.0,3.70
6.260,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.124,0.0,0.0,3.70
6.284,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.124,0.0,0.0,3.70
6.306,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.124,0.0,0.0,3.70
6.326,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.124,0.0,0.0,3.70
6.351,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.124,0.0,0.0,3.70
6.371,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.124,0.0,0.0,3.70
6.396,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.124,0.0,0.0,3.70
6.417,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.124,0.0,0.0,3.70
6.442,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.124,0.0,0.0,3.70
6.462,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.046,0.0,0.0,3.70
6.487,STOCK (your sticks),0,0.0,0.0,-0.0,70.0,51.046,0.0,0.0,3.70
