timestep,walltime_sec,ep_rew_mean,ep_len_mean
14888960,3718.21,1604.9732,415.45
14909440,3723.39,1592.2350,406.43
14929920,3728.74,1536.2300,401.57
14950400,3734.05,1630.7342,430.84
14970880,3739.56,1608.7118,414.71
14991360,3744.95,1629.2884,405.95
15011840,3750.38,1575.0813,410.90
15032320,3757.01,1543.5233,412.94
15052800,3763.03,1680.7292,440.83
15073280,3768.92,1708.1837,442.03
15093760,3774.54,1709.6751,434.65
15114240,3780.07,1665.0774,437.77
15134720,3785.45,1540.1775,415.18
15155200,3790.92,1606.6458,417.32
15175680,3796.32,1460.9915,397.02
15196160,3801.87,1448.3715,396.29
15216640,3807.10,1548.4262,414.98
15237120,3812.26,1458.1261,391.46
15257600,3817.56,1576.8741,422.42
15278080,3822.82,1593.9014,422.86
15298560,3827.98,1520.9413,407.82
